Sherman Alexie,ez23fpB7zVc,Native American poet,6:19,M,Luscombe
Jeff Koons,rBkRALSJUvw,American artist,4:39,M,Luscombe
Arnold Schwarzeneger,ArV6f5kbmfE,Former Governor of California,4:40,M,Luscombe
Jamaica Kincaid,YdHPZMfSOx8,Novelist,6:01,F,Luscombe
Joshua Bell,9grpRj-KvtU,Violinist,6:52,M,Luscombe
Gavin Newsom,GH10hRooI1E,Former San Francisco mayor,7:35,M,Luscombe
Nigella Lawson,LLEhMsmyIgQ,Writer,6:47,F,Luscombe
Doug Ulman,1lcL5OL1m_M,Livestrong CEO,5:58,M,Saporito
Jody Williams,OwHmSKj8Ujw,American political activist,5:23,F,Lapinski
Maya Angelou,bdagJKsKSp8,Author,6:01,F,Luscombe
Stephenie Meyer,lrCxTcGjSBY,Author,5:49,F,Rothman
Paul Farmer,ZfbM8hjXwgo,Medical Anthropologist,3:59,M,Luscombe
Natalie Maines,m0dy_Xl5EH0,Singer,4:10,F,Luscombe
Phil Jackson,264Vx6jjIlo,Basketball Coach,6:13,M,Luscombe
Joss Whedon,OpOC4O2jgMs,Screenwriter,6:38,M,Luscombe
Questlove,tdNoE1nq27c,Drummer,5:51,M,Luscombe
Shaun White,4RV4rcrSYgk,Snowboarder,4:19,M,Luscombe
Michael Vick,Sbod1xVx3YQ,NFL Quarterback,5:44,M,Gregory
Hugh Jackman,x-pmWoB-NT4,Actor,6:35,M,Luscombe
